array_type	config	frequency	array_size	elapsed_time
random_seq	0x60	1.6GHz	60000	8	1.794887
random_seq	0x60	1.6GHz	60000	16	1.419394
random_seq	0x60	1.6GHz	60000	32	1.170882
random_seq	0x60	1.6GHz	60000	64	1.002592
random_seq	0x60	1.6GHz	60000	128	0.889674
random_seq	0x60	1.6GHz	60000	256	0.832734
random_seq	0x60	1.6GHz	60000	512	0.834045
random_seq	0x60	1.6GHz	60000	1024	0.927248
random_seq	0x60	1.6GHz	60000	2048	1.15413
random_seq	0x60	1.6GHz	60000	4096	1.575857
random_seq	0x60	1.6GHz	60000	8192	2.874216
random_seq	0x60	1.6GHz	60000	16384	7.313286
random_seq	0x60	1.6GHz	60000	32768	6.903728
random_seq	0x60	1.6GHz	70000	2	3.218596
random_seq	0x60	1.6GHz	70000	4	2.810043
random_seq	0x60	1.6GHz	70000	8	2.199755
random_seq	0x60	1.6GHz	70000	16	1.704112
random_seq	0x60	1.6GHz	70000	32	1.403647
random_seq	0x60	1.6GHz	70000	64	1.209745
random_seq	0x60	1.6GHz	70000	128	1.058981
random_seq	0x60	1.6GHz	70000	256	1.011892
random_seq	0x60	1.6GHz	70000	512	1.014728
random_seq	0x60	1.6GHz	70000	1024	1.09886
random_seq	0x60	1.6GHz	70000	2048	1.408148
random_seq	0x60	1.6GHz	70000	4096	2.153943
random_seq	0x60	1.6GHz	70000	8192	2.927761
random_seq	0x60	1.6GHz	70000	16384	6.303185
random_seq	0x60	1.6GHz	70000	32768	11.93839
random_seq	0x60	1.6GHz	70000	65536	23.60465
random_seq	0x60	1.6GHz	80000	2	3.754144
random_seq	0x60	1.6GHz	80000	4	3.316685
random_seq	0x60	1.6GHz	80000	8	2.571581
random_seq	0x60	1.6GHz	80000	16	2.007015
random_seq	0x60	1.6GHz	80000	32	1.637466
random_seq	0x60	1.6GHz	80000	64	1.442557
random_seq	0x60	1.6GHz	80000	128	1.295267
random_seq	0x60	1.6GHz	80000	256	1.224057
random_seq	0x60	1.6GHz	80000	512	1.216967
random_seq	0x60	1.6GHz	80000	1024	1.294875
random_seq	0x60	1.6GHz	80000	2048	1.63343
random_seq	0x60	1.6GHz	80000	4096	2.45396
random_seq	0x60	1.6GHz	80000	8192	4.598093
random_seq	0x60	1.6GHz	80000	16384	7.928312
random_seq	0x60	1.6GHz	80000	32768	16.869949
random_seq	0x60	1.6GHz	80000	65536	39.483477
random_seq	0x60	1.6GHz	90000	2	4.281402
random_seq	0x60	1.6GHz	90000	4	3.727471
random_seq	0x60	1.6GHz	90000	8	2.921607
random_seq	0x60	1.6GHz	90000	16	2.2898
random_seq	0x60	1.6GHz	90000	32	1.898107
random_seq	0x60	1.6GHz	90000	64	1.653315
random_seq	0x60	1.6GHz	90000	128	1.483125
random_seq	0x60	1.6GHz	90000	256	1.402949
random_seq	0x60	1.6GHz	90000	512	1.392338
random_seq	0x60	1.6GHz	90000	1024	1.490434
random_seq	0x60	1.6GHz	90000	2048	1.913273
random_seq	0x60	1.6GHz	90000	4096	2.806184
random_seq	0x60	1.6GHz	90000	8192	4.63336
random_seq	0x60	1.6GHz	90000	16384	8.742217
random_seq	0x60	1.6GHz	90000	32768	15.4468
